SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
SENGKANG SCULPTURE PARK,,NIL,SENGKANG SCULPTURE PARK,SENGKANG SCULPTURE PARK,NIL,35060.0652607093,41864.632442873,1.39488251637671,103.896758884535,103.896758884535,Sengkang Sculpture Park
SINGAPORE BOTANIC GARDENS,1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS,1 CLUNY ROAD SINGAPORE BOTANIC GARDENS SINGAPORE 259569,259569,25758.773129099,32863.4073555451,1.31347941910133,103.813180039922,103.813180039922,Singapore Botanic Gardens
SISTERS' ISLAND MARINE PARK,,NIL,SISTERS' ISLAND MARINE PARK,SISTERS' ISLAND MARINE PARK,NIL,28034.3717216086,21917.8069782257,1.21449131588834,103.833627415047,103.833627415047,Sisters' Island Marine Park
SUN PLAZA PARK,,NIL,SUN PLAZA PARK,SUN PLAZA PARK,NIL,40286.0316614918,37884.4498208072,1.35888549053265,103.94371665055,103.94371665055,Sun Plaza Park
SUNGEI BULOH WETLAND RESERVE,301,NEO TIEW CRESCENT,SUNGEI BULOH WETLAND RESERVE,301 NEO TIEW CRESCENT SUNGEI BULOH WETLAND RESERVE SINGAPORE 718925,718925,16740.7879932914,47445.3510541208,1.44535111253736,103.732143434175,103.732143434175,Sungei Buloh Wetland Reserve
TAMPINES ECO GREEN PARK,,NIL,TAMPINES ECO GREEN PARK,TAMPINES ECO GREEN PARK,NIL,40783.0930954572,38425.4159639981,1.36377757605703,103.948183299896,103.948183299896,Tampines Eco Green
TANJONG PAGAR PARK,,NIL,TANJONG PAGAR PARK,TANJONG PAGAR PARK,NIL,29447.0654513435,28781.153374048,1.27656099825193,103.846320994884,103.846320994884,Tanjong Pagar Park
TELOK BLANGAH HILL PARK,,NIL,TELOK BLANGAH HILL PARK,TELOK BLANGAH HILL PARK,NIL,25465.4915008703,29033.754166266,1.27884536251889,103.810545068207,103.810545068207,Telok Blangah Hill Park
THE SOUTHERN RIDGES,,MOUNT FABER ROAD,THE SOUTHERN RIDGES,MOUNT FABER ROAD THE SOUTHERN RIDGES,NIL,26323.13887541,28354.3334575687,1.27270097701664,103.81825138766,103.81825138766,The Southern Ridges
TIONG BAHRU PARK,,NIL,TIONG BAHRU PARK,TIONG BAHRU PARK,NIL,27040.3094804501,29977.9052287061,1.28738402062473,103.824695370614,103.824695370614,Tiong Bahru Park
TOA PAYOH TOWN PARK,,NIL,TOA PAYOH TOWN PARK,TOA PAYOH TOWN PARK,NIL,29624.3706992259,34751.1908082571,1.33055190359647,103.847914458306,103.847914458306,Toa Payoh Town Park
UPPER PEIRCE RESERVOIR PARK,,NIL,UPPER PEIRCE RESERVOIR PARK,UPPER PEIRCE RESERVOIR PARK,NIL,25702.1257500686,39357.469942458,1.37220940699436,103.812670541882,103.812670541882,Upper Peirce Reservoir Park
UPPER SELETAR RESERVOIR,,NIL,UPPER SELETAR RESERVOIR,UPPER SELETAR RESERVOIR,NIL,24372.9774063099,42615.0946215969,1.40167005833452,103.800726795114,103.800726795114,Upper Seletar Reservoir
WAR MEMORIAL PARK,,NIL,WAR MEMORIAL PARK,WAR MEMORIAL PARK,NIL,30393.3129651407,30580.8413455952,1.29283668627998,103.854823512628,103.854823512628,War Memorial Park
WATERBOAT HOUSE GARDEN,,NIL,WATERBOAT HOUSE GARDEN,WATERBOAT HOUSE GARDEN,NIL,30242.2493629772,29971.7427277565,1.28732822387192,103.853466098771,103.853466098771,Waterboat House Garden
WEST COAST PARK CONNECTOR,,NIL,WEST COAST PARK CONNECTOR,WEST COAST PARK CONNECTOR,NIL,19427.6741232201,32579.660172455,1.31091219882988,103.756292063726,103.756292063726,West Coast Park
WOODLANDS WATERFRONT PARK,,NIL,WOODLANDS WATERFRONT PARK,WOODLANDS WATERFRONT PARK,NIL,22246.506838941,48379.8111859448,1.45380370281178,103.781617546,103.781617546,Woodlands Waterfront Park
YISHUN NEIGHBOURHOOD PARK,,NIL,YISHUN NEIGHBOURHOOD PARK,YISHUN NEIGHBOURHOOD PARK,NIL,28205.7514063194,46603.7013380863,1.43774180535158,103.835167452882,103.835167452882,Yishun Neighbourhood Park
YISHUN PARK,,NIL,YISHUN PARK,YISHUN PARK,NIL,29019.8484491864,45138.1716646347,1.42448806778692,103.842482846131,103.842482846131,Yishun Park
YISHUN POND PARK,,NIL,YISHUN POND PARK,YISHUN POND PARK,NIL,28750.425589391,45507.4539298788,1.42782773147436,103.840061845933,103.840061845933,Yishun Pond Park
YOUTH OLYMPIC PARK,,NIL,YOUTH OLYMPIC PARK,YOUTH OLYMPIC PARK,NIL,31017.4889434399,30151.4486202318,1.28895335576015,103.860431957375,103.860431957375,Youth Olympic Park
ZHENGHUA NATURE PARK,,NIL,ZHENGHUA NATURE PARK,ZHENGHUA NATURE PARK,NIL,21873.921216758,38894.796358278,1.36802460641509,103.778271500186,103.778271500186,Zhenghua Park
